School,StateRank,Name,RivalsRanking,NationalRank,Height,Weight,FortyTime,Location,Stars,Year,Position,HighSchool,ImgURL,PostionRank
Kansas,10,Kellen Ash,5.6,Unranked,"6'3""",194,4.70,"Ballwin, MO",Unevaluated,2013,LB,Parkway South Sr,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/KELLEN-ASH_150_6_4.JPG"">",Unranked
Kansas,7,Joey Bloomfield,5.6,Unranked,"6'6""",305,5.10,"Louisville, KY",Unevaluated,2013,OL,Ballard,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/JOEYBLOOMFIELD_150_11_23.JPG"">",57
Kansas,Unranked,Andrew Bolton,5.6,Unranked,"6'3""",280,4.80,"Raymond, MS",Unevaluated,2013,DE,Hinds C.C.,,Unranked
Kansas,Unranked,Rodriguez Coleman,5.5,Unranked,"6'3""",195,0.00,"Garden City, KS",Unevaluated,2013,WR,Garden City C.C.,,Unranked
Kansas,Unranked,Marquel Combs,5.8,Unranked,"6'3""",305,4.95,"Woodland Hills, CA",Unevaluated,2013,DT,Pierce C.C.,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/MARQUEL-COMBS_150_3_15.JPG"">",Unranked
Kansas,4,Montell Cozart,5.6,Unranked,"6'2""",180,0.00,"Roeland Park, KS",Unevaluated,2013,QB,Bishop Miege,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/MONTELL%20COZART%20150.JPG"">",Unranked
Kansas,5,Jordan Darling,5.5,Unranked,"6'4""",226,4.80,"Prairie Village, KS",Unevaluated,2013,QB,Shawnee Mission East,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/JORDAN-DARLING_150.JPG"">",Unranked
Kansas,Unranked,Samson Faifili,5.5,Unranked,"5'11""",240,4.50,"Sacramento, CA",Unevaluated,2013,LB,American River C.C.,,Unranked
Kansas,Unranked,Zach Fondal,5.4,Unranked,"6'5""",295,0.00,"Corsicana, TX",Unevaluated,2013,OL,Navarro J.C.,,Unranked
Kansas,Unranked,Ngalu Fusimalohi,5.5,Unranked,"6'3""",300,0.00,"San Francisco, CA",Unevaluated,2013,OL,City College of San Francisco,,Unranked
